K_d,A,period
1e-06,0.004195516032616941,4.869324282756319
1e-06,0.12179275044400135,3.6293425971101767
6e-06,0.0103543150920749,4.39323381920793
6e-06,0.1199267720456449,3.6301814886017123
1.1000000000000001e-05,0.014174065475142711,4.2370604603509845
1.1000000000000001e-05,0.11864073944915522,3.6308056168289657
1.6000000000000003e-05,0.017195398856149246,4.143503215554346
1.6000000000000003e-05,0.1175667794283511,3.6313383629375986
2.1000000000000002e-05,0.019783839310721467,4.077384525015391
2.1000000000000002e-05,0.11659836015624654,3.6318302084881995
2.6000000000000002e-05,0.02207742228712068,4.026803371019762
2.6000000000000002e-05,0.11569471102043191,3.6322993780856576
3.1e-05,0.024167847437508876,3.9861013685937254
3.1e-05,0.1148431088968726,3.632745219286932
3.6e-05,0.02609131691826175,3.952336261908653
3.6e-05,0.1140286938265828,3.6331749510189666
4.1e-05,0.02789371904998685,3.9235882513773324
4.1e-05,0.11324217485739435,3.633592800781651
4.6e-05,0.029583446504734993,3.8987504723921687
4.6e-05,0.11247471706270575,3.6340049401277725
5.1e-05,0.031198804072954688,3.8768951078832328
5.1e-05,0.11172079471128296,3.6344149092936195
5.6e-05,0.03272683661325725,3.8575587660720743
5.6e-05,0.11098007185018119,3.6348198781338326
6.1000000000000005e-05,0.03419016992148361,3.8402478757619534
6.1000000000000005e-05,0.11024964822765884,3.6352211117457727
6.6e-05,0.03559281456047877,3.824650246386552
6.6e-05,0.10952702056086117,3.6356198641024866
7.1e-05,0.03694137863751792,3.8105076458583835
7.1e-05,0.10880998924987348,3.6360173843932784
7.6e-05,0.03824092064340108,3.79761700257256
7.6e-05,0.10809659433787035,3.636414912735114
8.1e-05,0.03949531477723938,3.7858158419383874
8.1e-05,0.10738408454100472,3.63681525842734
8.6e-05,0.04070748508484877,3.7749723052474975
8.6e-05,0.1066695490250384,3.637221824658523
9.1e-05,0.029234231972437345,3.706425150049161
9.1e-05,0.04188131606935116,3.76497246488825
9.1e-05,0.10595462532252373,3.6376307883579964
9.6e-05,0.030398484736254654,3.704445803401938
9.6e-05,0.04301904236441788,3.755724687485236
9.6e-05,0.1052379308437378,3.638043257768356
0.000101,0.03155022518832787,3.702326675694934
0.000101,0.04411924672351185,3.7471612499307834
0.000101,0.10451818525862287,3.6384603068116776
0.000106,0.03270727398163631,3.7003980417278552
0.000106,0.045181903624574006,3.7392195159072092
0.000106,0.10379419974443016,3.6388829674763623
0.000111,0.03386277053283682,3.698479393851801
0.000111,0.04620627115170261,3.731846786869081
0.000111,0.1030648676433484,3.6393122251458965
0.000116,0.03503677191108271,3.6966322489709524
0.000116,0.04719699564767338,3.724982005386472
0.000116,0.10232915668964279,3.639749017292809
0.00012100000000000001,0.03622348257149752,3.6947954725819905
0.00012100000000000001,0.04814657982920282,3.71860268363699
0.00012100000000000001,0.101586102959374,3.6401942357296444
0.000126,0.037446598215123666,3.6930561870478296
0.000126,0.04905390367269061,3.712671564047779
0.000126,0.10083480654685796,3.6406487330944337
0.000131,0.03869432350568461,3.6913142824422263
0.000131,0.04991519363927382,3.707160692933632
0.000131,0.10007442866799528,3.641113334132204
0.000136,0.03997998358179145,3.68959320032806
0.000136,0.05072487350370193,3.7020464891865434
0.000136,0.09930419163170816,3.641588852882821
0.000141,0.04131612551137932,3.687889961835551
0.000141,0.051472455855745,3.6973156276245307
0.000141,0.09852092499641435,3.642080287611423
0.000146,0.04271287894424263,3.686184027142873
0.000146,0.052145046304261464,3.6929534719736337
0.000146,0.09772555367069387,3.6425857604908822
0.000151,0.04420390327757036,3.684481057778419
0.000151,0.05271983063734514,3.6889550189647538
0.000151,0.09691813148967844,3.6431051295771777
0.000156,0.0458218460813119,3.6827495630960367
0.000156,0.053157316113702904,3.685315872149218
0.000156,0.09609500087688386,3.6436446708795187
0.000161,0.04766102087361934,3.6809677973485297
0.000161,0.053365403056889346,3.682052647142848
0.000161,0.09525749510926033,3.644202699241675
0.00016600000000000002,0.050075406489892844,3.67907867708056
0.00016600000000000002,0.05298761440424353,3.6792102008986007
0.00016600000000000002,0.09440271225712822,3.644784884901985
0.000171,0.09353181590543906,3.6453910137775525
0.00017600000000000002,0.09264337278779149,3.646025866138756
0.000181,0.09173674083410453,3.646694079408235
0.00018600000000000002,0.09081228850596536,3.6474003831693462
0.000191,0.08987170186165366,3.6481499345095085
0.00019600000000000002,0.08891839335123386,3.64894877127668
0.000201,0.08795565250185058,3.649807198980807
0.00020600000000000002,0.08699240051973066,3.6507340386459606
0.000211,0.08603951396051251,3.6517428269951244
0.00021600000000000002,0.08511302347767646,3.6528493383428406
0.000221,0.08423489740282483,3.654071313464898
0.00022600000000000002,0.08343049096466235,3.655429636691921
0.000231,0.08272584645448874,3.6569465474970033
0.00023600000000000002,0.08214143559841457,3.658645409892007
0.00024100000000000003,0.08168878964426488,3.660547144835411
0.00024600000000000007,0.08136799052303786,3.662669317409907
0.00025100000000000003,0.08116969746871551,3.6650247324097927
0.00025600000000000004,0.0810790397654351,3.6676207515879375
0.00026100000000000006,0.08107923260226495,3.6704598448951593
0.00026600000000000007,0.08115416439543746,3.6735398450237287
