branch,K_d,A,period
1,1e-06,0.0041955160326169,4.869324282756319
2,1e-06,0.1217927504440013,3.6293425971101767
1,6e-06,0.0103543150920749,4.39323381920793
2,6e-06,0.1199267720456449,3.630181488601712
1,1.1e-05,0.0141740654751427,4.2370604603509845
2,1.1e-05,0.1186407394491552,3.6308056168289657
1,1.6000000000000003e-05,0.0171953988561492,4.143503215554346
2,1.6000000000000003e-05,0.1175667794283511,3.631338362937599
1,2.1e-05,0.0197838393107214,4.077384525015391
2,2.1e-05,0.1165983601562465,3.6318302084882
1,2.6e-05,0.0220774222871206,4.026803371019762
2,2.6e-05,0.1156947110204319,3.6322993780856576
1,3.1e-05,0.0241678474375088,3.986101368593725
2,3.1e-05,0.1148431088968726,3.632745219286932
1,3.6e-05,0.0260913169182617,3.952336261908653
2,3.6e-05,0.1140286938265828,3.633174951018967
1,4.1e-05,0.0278937190499868,3.923588251377333
2,4.1e-05,0.1132421748573943,3.633592800781651
1,4.6e-05,0.0295834465047349,3.8987504723921687
2,4.6e-05,0.1124747170627057,3.634004940127773
1,5.1e-05,0.0311988040729546,3.8768951078832328
2,5.1e-05,0.1117207947112829,3.63441490929362
1,5.6e-05,0.0327268366132572,3.857558766072074
2,5.6e-05,0.1109800718501811,3.634819878133833
1,6.1000000000000005e-05,0.0341901699214836,3.840247875761954
2,6.1000000000000005e-05,0.1102496482276588,3.6352211117457727
1,6.6e-05,0.0355928145604787,3.824650246386552
2,6.6e-05,0.1095270205608611,3.635619864102487
1,7.1e-05,0.0369413786375179,3.810507645858384
2,7.1e-05,0.1088099892498734,3.6360173843932784
1,7.6e-05,0.038240920643401,3.79761700257256
2,7.6e-05,0.1080965943378703,3.636414912735114
1,8.1e-05,0.0394953147772393,3.7858158419383874
2,8.1e-05,0.1073840845410047,3.63681525842734
1,8.6e-05,0.0407074850848487,3.7749723052474975
2,8.6e-05,0.1066695490250384,3.637221824658523
3,9.1e-05,0.0292342319724373,3.706425150049161
1,9.1e-05,0.0418813160693511,3.76497246488825
2,9.1e-05,0.1059546253225237,3.637630788357997
3,9.6e-05,0.0303984847362546,3.704445803401938
1,9.6e-05,0.0430190423644178,3.755724687485236
2,9.6e-05,0.1052379308437378,3.638043257768356
3,0.000101,0.0315502251883278,3.702326675694934
1,0.000101,0.0441192467235118,3.747161249930784
2,0.000101,0.1045181852586228,3.6384603068116776
3,0.000106,0.0327072739816363,3.7003980417278552
1,0.000106,0.045181903624574,3.739219515907209
2,0.000106,0.1037941997444301,3.6388829674763614
3,0.000111,0.0338627705328368,3.698479393851801
1,0.000111,0.0462062711517026,3.731846786869081
2,0.000111,0.1030648676433484,3.639312225145897
3,0.000116,0.0350367719110827,3.696632248970952
1,0.000116,0.0471969956476733,3.724982005386472
2,0.000116,0.1023291566896427,3.639749017292809
3,0.000121,0.0362234825714975,3.694795472581992
1,0.000121,0.0481465798292028,3.71860268363699
2,0.000121,0.101586102959374,3.640194235729645
3,0.000126,0.0374465982151236,3.6930561870478296
1,0.000126,0.0490539036726906,3.712671564047779
2,0.000126,0.1008348065468579,3.6406487330944337
3,0.000131,0.0386943235056846,3.691314282442226
1,0.000131,0.0499151936392738,3.707160692933632
2,0.000131,0.1000744286679952,3.641113334132204
3,0.000136,0.0399799835817914,3.68959320032806
1,0.000136,0.0507248735037019,3.702046489186544
2,0.000136,0.0993041916317081,3.641588852882821
3,0.000141,0.0413161255113793,3.687889961835551
1,0.000141,0.051472455855745,3.69731562762453
2,0.000141,0.0985209249964143,3.642080287611423
3,0.000146,0.0427128789442426,3.686184027142873
1,0.000146,0.0521450463042614,3.6929534719736337
2,0.000146,0.0977255536706938,3.642585760490882
3,0.000151,0.0442039032775703,3.684481057778419
1,0.000151,0.0527198306373451,3.6889550189647538
2,0.000151,0.0969181314896784,3.6431051295771777
3,0.000156,0.0458218460813119,3.6827495630960367
1,0.000156,0.0531573161137029,3.685315872149218
2,0.000156,0.0960950008768838,3.643644670879519
3,0.000161,0.0476610208736193,3.6809677973485297
1,0.000161,0.0533654030568893,3.682052647142848
2,0.000161,0.0952574951092603,3.644202699241675
3,0.000166,0.0500754064898928,3.67907867708056
1,0.000166,0.0529876144042435,3.6792102008986007
2,0.000166,0.0944027122571282,3.644784884901985
2,0.000171,0.093531815905439,3.645391013777553
2,0.000176,0.0926433727877914,3.646025866138756
2,0.000181,0.0917367408341045,3.646694079408235
2,0.000186,0.0908122885059653,3.647400383169346
2,0.000191,0.0898717018616536,3.648149934509509
2,0.000196,0.0889183933512338,3.64894877127668
2,0.000201,0.0879556525018505,3.649807198980807
2,0.000206,0.0869924005197306,3.650734038645961
2,0.000211,0.0860395139605125,3.651742826995125
2,0.000216,0.0851130234776764,3.6528493383428406
2,0.000221,0.0842348974028248,3.654071313464898
2,0.000226,0.0834304909646623,3.655429636691921
2,0.000231,0.0827258464544887,3.6569465474970033
2,0.000236,0.0821414355984145,3.658645409892007
2,0.000241,0.0816887896442648,3.660547144835411
2,0.000246,0.0813679905230378,3.662669317409907
2,0.000251,0.0811696974687155,3.6650247324097927
2,0.000256,0.0810790397654351,3.6676207515879375
2,0.000261,0.0810792326022649,3.6704598448951593
2,0.000266,0.0811541643954374,3.6735398450237287
